"Pais","Año","Sexo","Prev.cardiac","Prev.diab","Prev.hiper","Region","Media.obes","Porcentaje.gastos","Gasto.total","Porcentaje.gastos_log"
"Argentina",2000,"Men",1.13642571877287,0.43490218837386,2.82848824409704,"Americas",-0.329916593603581,1349.025282,9.21,0.985311783187074
"Argentina",2000,"Women",0.679382735050626,0.308318755273643,0.474663602644817,"Americas",-0.300910693261274,1349.025282,9.21,0.985311783187074
"Argentina",2001,"Men",1.14130384585693,0.457556356377485,2.72614804229477,"Americas",-0.256771279696895,123.0128671,9.38,-0.175501808723705
"Argentina",2001,"Women",0.762686136024631,0.349446164199241,0.346738350391979,"Americas",-0.221459748845391,123.0128671,9.38,-0.175501808723705
"Argentina",2002,"Women",0.740296783510596,0.391337162677595,0.218813098139141,"Americas",-0.140747678327669,470.1869145,8.31,0.473519789464498
"Argentina",2002,"Men",1.19496324378163,0.474433898387562,2.59822279004193,"Americas",-0.184887091892048,470.1869145,8.31,0.473519789464498
"Argentina",2003,"Women",0.787702172353161,0.441911936655504,0.0908878458863026,"Americas",-0.0587744817081063,57.58467352,8.22,-0.540113636164338
"Argentina",2003,"Men",1.144430850398,0.498459010837257,2.49588258823966,"Americas",-0.113002904087202,57.58467352,8.22,-0.540113636164338
"Argentina",2004,"Women",0.641233279649618,0.500844077776715,-0.0370374063665356,"Americas",0.0231987149114556,719.3663797,6.84,0.67991671413875
"Argentina",2004,"Men",0.936172347962986,0.528341223687734,2.36795733598682,"Americas",-0.0398575901805152,719.3663797,6.84,0.67991671413875
"Argentina",2005,"Men",0.831480235928088,0.564980514905761,2.26561713418455,"Americas",0.0332877237261707,96.16653429,6.85,-0.294116128777808
"Argentina",2005,"Women",0.593452650262125,0.567788050418611,-0.164962658619374,"Americas",0.107694163734696,96.16653429,6.85,-0.294116128777808
"Argentina",2006,"Women",0.573439821199301,0.639674021998023,-0.267302860421645,"Americas",0.194711864761616,961.1774676,6.68,0.820643681724725
"Argentina",2006,"Men",0.773443031645898,0.605926826454226,2.16327693238228,"Americas",0.107694163734696,961.1774676,6.68,0.820643681724725
"Argentina",2007,"Women",0.743048547506735,0.717120034328049,-0.395228112674483,"Americas",0.282990691890375,1105.659031,6.49,0.888664857362908
"Argentina",2007,"Men",0.890768242026704,0.653798613551863,2.06093673058001,"Americas",0.183361729845061,1105.659031,6.49,0.888664857362908
"Argentina",2008,"Women",0.582320514095929,0.797233906515768,-0.497568314476753,"Americas",0.375052897324653,1413.73543,6.66,1.00807556896961
"Argentina",2008,"Men",0.703398129926015,0.704508006646264,1.95859652877774,"Americas",0.260290422057266,1413.73543,6.66,1.00807556896961
"Argentina",2009,"Men",0.684385942316332,0.756511548435514,1.85625632697547,"Americas",0.341002492574988,1398.042623,7.63,1.00265224407461
"Argentina",2009,"Women",0.555053034497832,0.879056400038528,-0.599908516279024,"Americas",0.470898481064448,1398.042623,7.63,1.00265224407461
"Argentina",2010,"Women",0.788327573261374,0.965934387177988,-0.702248718081295,"Americas",0.569266317007923,187.610955,6.55,0.0283649218868624
"Argentina",2010,"Men",0.829478953021806,0.815092411349332,1.77950117562377,"Americas",0.42423681529639,187.610955,6.55,0.0283649218868624
"Argentina",2012,"Women",0.639357076924978,1.14980377438952,-0.906929121685836,"Americas",0.779874376015105,1133.558003,5.2,0.900770198817255
"Argentina",2012,"Women",0.753054962038147,1.14980377438952,-0.906929121685836,"Americas",0.779874376015105,1133.558003,5.2,0.900770198817255
"Argentina",2012,"Men",0.748802235862296,0.946882599768756,1.62599087292036,"Americas",0.602055595655748,1133.558003,5.2,0.900770198817255
"Argentina",2013,"Men",0.671502683607139,1.01469167872514,1.52365067111809,"Americas",0.696640053293704,1001.796332,4.99,0.840747715637791
"Argentina",2013,"Women",0.57669190592201,1.24550337508814,-0.983684273037539,"Americas",0.889592346875135,1001.796332,4.99,0.840747715637791
"Argentina",2014,"Men",0.565184529210886,1.08307318842275,1.44689551976639,"Americas",0.796269015339018,847.3717463,4.79,0.759440072505089
"Argentina",2014,"Men",0.762811216206273,1.08307318842275,1.44689551976639,"Americas",0.796269015339018,847.3717463,4.79,0.759440072505089
"Argentina",2014,"Women",0.485758613867803,1.34267764685747,-1.08602447483981,"Americas",1.00183256993884,847.3717463,4.79,0.759440072505089
"Bahamas",2000,"Men",0.0441004924876065,0.13018785366999,2.08652178103058,"Americas",0.533954786156419,0,5.21,-2.51920215451706
"Bahamas",2000,"Women",-0.0735999584381275,1.18263292518664,0.193228047688573,"Americas",1.43439882286976,0,5.21,-2.51920215451706
"Bahamas",2001,"Men",0.23684905239893,0.256637917080876,1.98418157922831,"Americas",0.655022891933003,0,5.15,-2.51920215451706
"Bahamas",2001,"Women",0.0140812488933704,1.33509650479455,0.0653027954357346,"Americas",1.5731226940721,0,5.15,-2.51920215451706
"Bahamas",2002,"Women",-0.0479585212013841,1.48723488887275,-0.0626224568171036,"Americas",1.71184656527443,0,5.26,-2.51920215451706
"Bahamas",2002,"Men",0.150293566702216,0.379223634473122,1.88184137742604,"Americas",0.774829871607748,0,5.26,-2.51920215451706
"Bahamas",2003,"Women",-0.00555633962452589,1.63709064867706,-0.164962658619374,"Americas",1.84930931037493,0,5.62,-2.51920215451706
"Bahamas",2003,"Men",0.139661751262591,0.49694803555427,1.80508622607433,"Americas",0.890853472976974,0,5.62,-2.51920215451706
"Bahamas",2004,"Women",0.156672655965992,1.77841556801325,-0.292887910872212,"Americas",1.98551092937359,0,6.2,-2.51920215451706
"Bahamas",2004,"Men",0.442230710656161,0.607003158321163,1.72833107472263,"Americas",1.00183256993884,0,6.2,-2.51920215451706
"Bahamas",2005,"Men",0.336788117531407,0.708027607088925,1.65157592337093,"Americas",1.10902828859519,0,5.95,-2.51920215451706
"Bahamas",2005,"Women",0.00369959381703033,1.91373199901161,-0.395228112674483,"Americas",2.1204514222704,0,5.95,-2.51920215451706
"Bahamas",2006,"Women",0.0168330128895087,2.04587719044332,-0.497568314476753,"Americas",2.25539191516722,0,6.93,-2.51920215451706
"Bahamas",2006,"Men",0.479504604785671,0.802425450859602,1.54923572156866,"Americas",1.21117950284419,0,6.93,-2.51920215451706
"Bahamas",2007,"Women",-0.0652195862680697,2.17652518059695,-0.625493566729592,"Americas",2.3890712819622,0,7.8,-2.51920215451706
"Bahamas",2007,"Men",0.369434044940139,0.891734381967376,1.44689551976639,"Americas",1.30702508658398,0,7.8,-2.51920215451706
"Bahamas",2008,"Women",-0.025068847960779,2.30259696966876,-0.727833768531863,"Americas",2.52148952265534,0,7.3,-2.51920215451706
