Zona,Indicador,Edad,Sexo,Año,Valor,Minimo valor,Maximo valor
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2015,"27,20","16,00","40,70"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2016,"27,20","15,80","41,10"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2017,"27,20","15,70","41,40"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2018,"27,20","15,30","42,10"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2019,"27,20","14,80","42,60"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2000,"25,90","14,00","40,60"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2001,"26,00","14,20","40,80"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2002,"26,10","14,30","40,70"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2003,"26,20","14,60","40,90"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2004,"26,40","14,80","41,10"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2005,"26,50","15,00","41,10"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2006,"26,70","15,20","41,20"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2007,"26,90","15,50","41,20"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2008,"27,10","15,70","41,50"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2009,"27,20","15,80","41,70"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2010,"27,40","16,00","41,90"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2011,"27,60","16,00","41,90"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2012,"27,70","16,10","42,40"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2013,"27,90","16,00","42,80"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2014,"28,10","16,10","43,30"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2015,"28,30","16,10","43,80"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2016,"28,50","15,80","44,30"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2017,"28,80","15,70","45,20"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2018,"29,10","15,50","46,10"
"Bolivia, Plurinational State of",Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2019,"29,40","15,30","47,10"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2000,"61,30","36,60","81,90"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2001,"62,10","37,40","82,60"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2002,"62,90","38,30","83,10"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2003,"63,80","39,20","83,70"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2004,"64,70","40,20","84,30"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2005,"65,60","41,40","84,80"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2006,"66,40","42,40","85,40"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2007,"67,20","43,50","85,80"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2008,"68,00","44,70","86,20"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2009,"68,70","45,70","86,70"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2010,"69,30","46,50","86,90"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2011,"69,90","47,20","87,20"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2012,"70,30","47,80","87,50"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2013,"70,60","47,90","87,70"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2014,"70,80","48,20","87,90"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2015,"70,90","47,90","88,00"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2016,"71,00","47,60","88,10"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2017,"70,90","47,40","88,30"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2018,"70,80","47,10","88,50"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2019,"70,70","45,90","88,90"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2000,"40,50","19,60","63,70"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2001,"41,30","20,30","64,40"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2002,"42,00","20,90","65,20"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2003,"42,70","21,50","65,90"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2004,"43,40","22,10","66,60"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2005,"44,10","22,60","67,20"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2006,"44,80","23,20","67,80"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2007,"45,40","23,60","68,40"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2008,"46,10","24,20","68,90"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2009,"46,70","24,70","69,30"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2010,"47,20","25,10","69,90"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2011,"47,80","25,60","70,20"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2012,"48,30","26,00","70,80"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2013,"48,80","26,50","71,20"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2014,"49,20","27,00","71,60"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2015,"49,60","27,10","72,30"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2016,"50,00","27,10","73,00"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2017,"50,40","27,20","73,50"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2018,"50,70","27,10","74,10"
"Bolivia, Plurinational State of",Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2019,"51,00","26,90","75,00"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2000,"20,50","13,60","28,30"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2001,"20,20","13,40","27,70"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2002,"19,80","13,20","27,20"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2003,"19,50","13,00","26,80"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2004,"19,20","12,90","26,20"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2005,"18,90","12,60","25,70"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2006,"18,60","12,40","25,30"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2007,"18,30","12,20","25,10"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2008,"18,00","12,00","24,70"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2009,"17,70","11,80","24,40"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2010,"17,40","11,50","24,30"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2011,"17,10","11,10","24,10"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2012,"16,90","10,70","24,20"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2013,"16,60","10,40","24,30"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2014,"16,30","10,00","24,30"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2015,"16,10","9,50","24,40"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2000,"22,30","14,60","30,90"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2001,"22,10","14,50","30,50"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2002,"21,90","14,30","30,20"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2003,"21,60","14,30","29,90"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2004,"21,40","14,30","29,40"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2005,"21,20","14,10","29,10"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2006,"21,00","14,00","28,90"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2007,"20,80","13,90","28,60"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2008,"20,70","13,80","28,50"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2009,"20,50","13,50","28,50"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2010,"20,40","13,20","28,50"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2011,"20,20","12,90","28,60"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2012,"20,10","12,60","28,80"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2013,"20,00","12,30","29,10"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2014,"19,90","11,90","29,50"
"Bolivia, Plurinational State of",Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2015,"19,70","11,40","30,00"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2000,"42,30","37,70","47,10"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2001,"42,80","38,30","47,30"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2002,"43,20","38,90","47,50"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2003,"43,60","39,40","47,90"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2004,"44,00","39,90","48,20"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2005,"44,30","40,30","48,40"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2006,"44,60","40,60","48,70"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2007,"44,70","40,80","48,80"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2008,"44,80","41,00","48,90"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2009,"44,90","41,10","48,90"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2010,"44,80","41,10","48,70"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2011,"44,70","41,00","48,40"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2012,"44,40","40,80","48,20"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2013,"44,10","40,40","48,00"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2014,"43,80","39,90","47,90"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2015,"43,50","39,40","47,80"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2016,"43,10","38,50","47,90"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2017,"42,80","37,60","48,10"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2018,"42,40","36,40","48,50"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Female,2019,"42,10","35,10","48,90"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2000,"44,30","38,70","49,90"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2001,"44,70","39,40","50,10"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2002,"45,10","40,00","50,20"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2003,"45,50","40,50","50,50"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2004,"45,90","41,00","50,80"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2005,"46,20","41,40","51,00"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2006,"46,50","41,80","51,20"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2007,"46,70","42,20","51,50"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2008,"47,00","42,50","51,60"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2009,"47,20","42,80","51,70"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2010,"47,30","43,00","51,80"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2011,"47,40","43,20","51,80"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2012,"47,40","43,10","51,80"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2013,"47,40","43,10","51,90"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2014,"47,40","43,00","52,20"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2015,"47,50","42,70","52,60"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2016,"47,60","42,40","53,20"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2017,"47,70","41,80","53,90"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2018,"47,80","41,00","54,70"
Brazil,Prevalence of hypertension among adults aged 30-79 years (age-standardized estimate),30-79 years,Male,2019,"47,90","40,20","55,60"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2000,"61,20","52,80","69,00"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2001,"62,10","53,80","69,90"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2002,"63,10","54,90","70,90"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2003,"64,00","56,00","71,70"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2004,"65,00","57,10","72,60"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2005,"66,00","58,20","73,40"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2006,"67,00","59,50","74,10"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2007,"67,90","60,80","74,60"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2008,"68,70","61,90","75,30"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2009,"69,50","63,00","75,70"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2010,"70,20","64,00","76,00"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2011,"70,80","65,00","76,30"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2012,"71,40","65,70","76,60"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2013,"71,80","66,50","76,80"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2014,"72,30","66,90","77,20"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2015,"72,60","67,00","77,70"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2016,"72,90","67,00","78,40"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2017,"73,10","66,30","79,20"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2018,"73,20","65,30","80,30"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Female,2019,"73,40","64,00","81,30"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2000,"44,20","35,90","52,30"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2001,"45,10","36,90","53,00"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2002,"46,00","37,90","53,60"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2003,"46,90","39,10","54,30"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2004,"47,80","40,20","55,00"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2005,"48,70","41,20","55,80"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2006,"49,60","42,30","56,40"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2007,"50,50","43,40","57,20"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2008,"51,40","44,60","57,90"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2009,"52,40","45,70","58,70"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2010,"53,30","46,90","59,30"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2011,"54,30","48,10","60,20"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2012,"55,30","49,20","61,00"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2013,"56,20","50,30","62,00"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2014,"57,20","51,20","63,00"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2015,"58,10","51,80","64,40"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2016,"59,10","52,20","65,80"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2017,"60,00","52,40","67,40"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2018,"60,90","52,50","69,00"
Brazil,Prevalence of hypertension awareness among adults aged 30-79 with hypertension (age-standardized estimate),30-79 years,Male,2019,"61,80","52,40","70,80"
Brazil,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2000,"26,90","22,30","31,90"
Brazil,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2001,"26,50","21,90","31,30"
Brazil,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2002,"26,00","21,50","30,70"
Brazil,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2003,"25,50","21,10","30,00"
Brazil,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2004,"25,00","20,60","29,50"
Brazil,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2005,"24,50","20,20","28,90"
Brazil,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2006,"24,00","19,80","28,50"
Brazil,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2007,"23,50","19,30","28,10"
Brazil,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2008,"23,10","18,70","27,70"
Brazil,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2009,"22,60","18,10","27,40"
Brazil,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2010,"22,10","17,50","27,20"
Brazil,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2011,"21,70","16,80","27,10"
Brazil,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2012,"21,20","16,10","27,00"
Brazil,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2013,"20,80","15,30","26,90"
Brazil,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2014,"20,30","14,50","26,90"
Brazil,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Female,2015,"19,90","13,80","27,10"
Brazil,Prevalence of raised blood pressure (SBP≥140 or DBP≥90) (age-standardized estimate),18+ years,Male,2000,"31,50","25,80","37,20"
